City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
269,Mwense,ZM,-10.3845,28.698,67.21,91,18,5.08,few clouds
270,Borisoglebskiy,RU,57.2586,39.1508,32.0,69,0,6.71,clear sky
271,Nola,IT,40.922,14.5329,52.0,37,0,12.66,clear sky
272,Azare,NG,11.6765,10.1948,84.4,11,3,8.93,clear sky
273,Leningradskiy,RU,69.3833,178.4167,0.12,94,100,5.5,overcast clouds
274,Najran,SA,17.4924,44.1277,71.6,23,54,4.61,dust
275,Lianga,PH,8.6336,126.0947,74.08,94,98,2.53,overcast clouds
276,Ahipara,NZ,-35.1667,173.1667,58.51,86,100,3.78,overcast clouds
277,Holme,DK,56.1138,10.1725,44.6,76,75,16.11,broken clouds
278,Valle Hermoso,MX,25.6667,-97.8333,77.0,61,75,17.27,broken clouds
279,Beringovskiy,RU,63.05,179.3167,-10.12,95,7,4.72,clear sky
280,Koundara,GN,12.4833,-13.3,96.49,14,13,4.07,few clouds
281,Alghero,IT,40.5589,8.3181,55.4,94,20,4.61,few clouds
282,Kavieng,PG,-2.5744,150.7967,79.36,82,100,9.08,light rain
283,Necochea,AR,-38.5473,-58.7368,82.0,42,0,8.99,clear sky
284,Wencheng,CN,33.0559,113.7978,48.51,58,100,1.54,overcast clouds
285,Flinders,AU,-34.5833,150.8552,68.0,89,23,1.01,few clouds
286,Kindu,CD,-2.95,25.95,72.3,93,100,2.42,light rain
287,Mudanjiang,CN,44.5833,129.6,33.98,46,0,4.59,clear sky
288,Arraial Do Cabo,BR,-22.9661,-42.0278,82.4,69,40,14.97,scattered clouds
289,Hobyo,SO,5.3505,48.5268,82.99,67,87,13.62,overcast clouds
290,Bayanday,RU,53.0661,105.5139,24.24,98,97,3.69,overcast clouds
291,Huilong,CN,31.8111,121.655,50.0,69,0,10.47,clear sky
292,Andijon,UZ,40.7821,72.3442,48.0,61,100,7.0,light rain
293,Pauini,BR,-7.7136,-66.9764,84.9,74,49,3.13,scattered clouds
294,Domat,CH,46.8348,9.4508,39.99,55,0,2.3,clear sky
295,Lloydminster,CA,53.2835,-110.0016,46.4,49,75,20.71,broken clouds
296,Launceston,AU,-41.45,147.1667,44.01,87,0,2.28,clear sky
297,Say,NE,13.1007,2.3689,95.0,6,0,2.3,clear sky
298,Shebunino,RU,46.4339,141.8603,32.02,63,0,2.21,clear sky
299,Bati,ET,11.1833,40.0167,69.44,41,5,3.83,clear sky
300,Auki,SB,-8.7676,160.7034,77.85,85,100,4.21,overcast clouds
301,Waipawa,NZ,-41.4122,175.5153,64.4,77,52,13.8,broken clouds
302,Zhanaozen,KZ,43.3,52.8,49.12,62,2,8.48,clear sky
303,Juegang,CN,32.3174,121.1855,45.43,64,2,9.08,clear sky
304,Saint-Paul,RE,-21.0096,55.2707,78.8,78,20,12.66,few clouds
305,Torbay,CA,47.6666,-52.7314,44.01,100,90,11.5,light intensity drizzle
306,Arrifes,PT,37.7667,-25.7,60.8,94,40,12.66,scattered clouds
307,Labuhan,ID,-6.8844,112.2051,76.48,90,100,7.11,overcast clouds
308,Srikakulam,IN,18.3,83.9,80.17,87,3,4.18,clear sky
309,Wanaka,NZ,-44.7,169.15,52.09,81,1,8.95,clear sky
310,Vincennes,FR,48.85,2.4333,48.2,61,0,3.44,clear sky
311,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.2,80,20,4.47,few clouds
312,Nyaunglebin,MM,17.95,96.7333,73.69,84,100,0.74,light rain
313,Salalah,OM,17.0151,54.0924,80.6,83,0,3.44,clear sky
314,Rio Grande,BR,-32.035,-52.0986,80.6,57,40,18.41,scattered clouds
315,Taoudenni,ML,22.6783,-3.9836,92.95,11,98,12.17,overcast clouds
316,Marsa Matruh,EG,31.3525,27.2453,68.0,40,0,6.91,clear sky
317,Yeppoon,AU,-23.1333,150.7333,73.4,88,90,8.05,light rain
318,Doha,QA,25.2867,51.5333,71.6,49,0,11.5,clear sky
319,Darhan,MN,49.4867,105.9228,35.91,62,1,8.01,clear sky
320,Cuauhtemoc,MX,28.4167,-106.8667,77.0,18,0,3.0,clear sky
321,Ossora,RU,59.2353,163.0719,14.54,92,100,23.96,snow
322,Sorland,NO,67.667,12.6934,28.4,93,75,6.91,light snow
323,Paamiut,GL,61.994,-49.6678,38.52,76,84,27.2,broken clouds
324,Te Anau,NZ,-45.4167,167.7167,54.03,74,96,9.75,overcast clouds
325,Bandarbeyla,SO,9.4942,50.8122,79.52,78,37,5.73,scattered clouds
326,Tilichiki,RU,60.4667,166.1,8.82,92,100,17.0,light snow
327,Banjar,ID,-8.19,114.9675,78.8,89,40,8.05,light rain
328,Kiama,AU,-34.6833,150.8667,68.0,89,27,3.0,scattered clouds
329,Vao,NC,-22.6667,167.4833,75.51,62,5,21.43,clear sky
330,Shangrao,CN,28.4532,117.9686,54.59,88,67,4.23,broken clouds
331,Katsuura,JP,35.1333,140.3,64.4,94,75,6.91,mist
332,Cerquilho,BR,-23.165,-47.7436,82.4,42,20,14.97,few clouds
333,Cockburn Town,TC,21.4612,-71.1419,77.0,57,75,17.27,broken clouds
334,Altamont,US,42.2068,-121.7372,63.0,28,1,6.91,clear sky
335,Sembe,CG,1.6481,14.5806,75.2,80,39,1.99,scattered clouds
336,Deer Lake,CA,49.1667,-57.4316,42.8,81,90,13.8,light intensity drizzle
337,Pierre,US,44.3683,-100.351,79.0,13,1,16.11,clear sky
338,Turukhansk,RU,65.8167,87.9833,22.62,95,100,16.93,light snow
339,Umm Lajj,SA,25.0213,37.2685,74.97,43,0,9.62,clear sky
340,Illapel,CL,-31.6308,-71.1653,73.81,58,62,8.77,broken clouds
341,Czersk,PL,53.7959,17.9765,44.01,62,92,10.0,overcast clouds
342,Coari,BR,-4.085,-63.1414,84.4,77,87,3.44,overcast clouds
343,Mangrol,IN,21.1167,70.1167,78.8,79,0,7.61,clear sky
344,Andenes,NO,69.3143,16.1194,30.2,80,75,11.5,light snow
345,Valdivia,CL,-39.8142,-73.2459,71.6,49,0,4.61,clear sky
346,Santa Cruz De La Palma,ES,28.6835,-17.7642,66.2,63,75,5.14,broken clouds
347,Neuquen,AR,-38.9516,-68.0591,86.0,39,20,6.91,few clouds
348,Nelson Bay,AU,-32.7167,152.15,64.99,94,100,6.71,overcast clouds
