City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
504,Gibato,PH,74.03,broken clouds,11.2251,122.8143,Salvador L. Venteroso
506,La Palma,US,75.2,broken clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
507,Passos,BR,82.13,overcast clouds,-20.7189,-46.6097,AL
508,Sabha,LY,77.88,few clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
509,Sechura,PE,82.27,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
515,Bartica,GY,80.6,broken clouds,6.4,-58.6167,Relax Inn Hotel
516,Tahoua,NE,89.6,clear sky,14.8888,5.2692,Bungalows Guesthouse
520,Quatre Cocos,MU,81.0,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
521,Santa Catalina,PH,80.6,few clouds,9.3337,122.8637,Don Pacondo
524,Flagstaff,US,75.0,clear sky,35.1981,-111.6513,Drury Inn & Suites Flagstaff
526,Trairi,BR,81.52,scattered clouds,-3.2778,-39.2689,janelas do mar
530,Vangaindrano,MG,74.59,moderate rain,-23.35,47.6,Hotel Fanilo
535,Popondetta,PG,73.53,overcast clouds,-8.7537,148.2534,Timos Transit House
541,Tabuk,PH,72.23,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
545,Kieta,PG,78.62,light rain,-6.2167,155.6333,Uruna Bay Retreat
549,Bilma,NE,80.53,clear sky,18.6853,12.9164,Expeditions Ténére voyages
551,Basoko,CD,79.92,overcast clouds,1.2391,23.616,Flat Hotel La Benediction
554,Nanga Eboko,CM,83.48,broken clouds,4.6833,12.3667,Motel Papi Palace
558,Vilcun,CL,77.0,clear sky,-38.65,-72.2333,"Rayen-Co, Rural Tourism"
560,Puerto Escondido,MX,86.0,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
562,Teahupoo,PF,80.6,scattered clouds,-17.8333,-149.2667,Vanira Lodge
564,Banda Aceh,ID,79.88,overcast clouds,5.5577,95.3222,Sulthan Hotel International
566,Faanui,PF,81.41,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
567,Touros,BR,84.2,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
568,Mtwara,TZ,77.0,few clouds,-10.2667,40.1833,Til Hotels
573,Comodoro Rivadavia,AR,82.4,clear sky,-45.8667,-67.5,Austral Hotel
